Layer,Name,GEOID,DIS_2015-2019,DIW_2015-2019,UNS_2015-2019,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,INC_2015-2019,PCI_2015-2019,POV_2015-2019,HDX_2015-2019,PMC_2019,PCT-H_2015-2019,POP_2016-2020
,,,"Disability (% of residents), 2015-2019","Ambulatory difficulty (% of residents), 2015-2019","Uninsured rate (% of residents), 2015-2019","Population percentages by demographic group, Non-Hispanic White (% of residents), 2015-2019","Population percentages by demographic group, Non-Hispanic Black (% of residents), 2015-2019","Population percentages by demographic group, Asian (% of residents), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Hardship Index (0 [lowest] to 100 [greatest] hardship), 2015-2019","Particulate matter (PM 2.5) concentration (µg/m3), 2019","Population percentages by demographic group, Hispanic or Latino (% of residents), 2015-2019","Population counts by demographic group (count of residents), 2016-2020"
Census tract,Tract 8016.03,17031801603,11.8227848101266,5.9746835443038,9.74683544303798,45.7896021479131,11.227727605565,23.8711252135709,56165.9534594822,34327.9400164156,20.506329113924,62.2,9.524348907,17.2321210641933,3821.0
Census tract,Tract 8016.05,17031801605,9.81494920174166,3.99129172714078,0.0362844702467344,76.5783744557329,0.272133526850508,19.466618287373,144357.033297101,74852.5807582245,1.61465892597968,6.4,9.364215027,2.28592162554427,5349.0
Census tract,Tract 8016.06,17031801606,8.97858319604613,5.18945634266886,2.10873146622735,80.6313712594541,0.411048997040447,16.2446563630385,126345.021140664,73395.1574790923,5.19565932259125,6.9,9.42638463166335,1.47977638934561,6972.0
Census tract,Tract 8016.07,17031801607,8.40061514801999,4.1522491349481,6.07458669742407,64.9500384319754,0.557263643351268,30.4765564950038,100564.327691386,59507.2077020342,4.55506438593119,13.8,9.518765847,3.24750192159877,5582.0
Census tract,Tract 8016.08,17031801608,12.3764503652772,6.21687437329895,3.89628992980948,69.1382481958398,0.382057450120277,28.9373142776284,123501.242529781,70175.8855342843,2.40653201547056,13.9,9.390656831,0.933918211405122,6526.0
Census tract,Tract 8017.01,17031801701,5.5012853470437,3.72750642673522,0.488431876606684,79.7429305912596,0.0,16.8637532133676,197410.847090663,77441.7876172941,1.3659793814433,3.2,9.320327049,2.51928020565553,3488.0
Census tract,Tract 8017.02,17031801702,5.64971751412429,2.84658843980878,0.847457627118644,81.2907431551499,0.499782703172534,11.8861364624076,127846.994476364,68403.4297122829,1.84702303346371,7.7,9.316303825,4.86744893524555,4575.0
Census tract,Tract 8018,17031801800,9.08205474707991,5.34698671280997,0.527267587216818,85.3587734295467,1.01961967548155,12.2682436987077,160382.233155337,98597.1181665446,5.76587752438672,3.59722488980939,9.2595040647126,1.0899673422763,5857.0
Census tract,Tract 8019.01,17031801901,10.0263852242744,4.53346126169345,5.75677620532502,75.1869158878505,0.420560747663551,8.5981308411215,98866.1219636638,68865.9017280774,9.16286879347565,38.6,9.392453279,14.7196261682243,4298.0
Census tract,Tract 8019.02,17031801902,4.2314335060449,2.59067357512953,2.53310305123777,86.2118595279217,0.143926309729419,9.49913644214162,173585.052552186,79219.5470174582,1.18257859821171,3.7,9.371750273,1.237766263673,3860.0
