Layer,Name,GEOID,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,PCT-H_2015-2019,HDX_2015-2019,INC_2015-2019,PCI_2015-2019,POV_2015-2019,DIS_2015-2019,DIW_2015-2019,UNS_2015-2019,PMC_2019,POP_2015-2019
,,,"Demographics, Non-Hispanic White (% of residents), 2015-2019","Demographics, Non-Hispanic Black (% of residents), 2015-2019","Demographics, Asian (% of residents), 2015-2019","Demographics, Hispanic or Latino (% of residents), 2015-2019","Hardship Index (score), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Disability (% of residents), 2015-2019","Ambulatory difficulty (% of residents), 2015-2019","Uninsured rate (% of residents), 2015-2019","Particulate matter (PM 2.5) concentration (µg/m3), 2019","Population (residents), 2015-2019"
Census tract,Tract 101,17031010100,40.291367688628,44.4661883018047,1.0002174385736,11.3720373994347,63.9,34445.6794516294,30891.2213669336,32.3849744387642,13.9364303178484,6.35696821515892,7.86841520337853,9.380204372,4599.0
Census tract,Tract 102.01,17031010201,31.2273641851107,33.2796780684105,3.84976525821596,22.4144869215292,83.8,48410.0007542315,22138.19596708,37.2261792769789,12.5923934954979,5.96693992742911,11.7860502620616,9.424335246,7455.0
Census tract,Tract 102.02,17031010202,30.3522099447514,33.6325966850829,5.35220994475138,26.0013812154696,86.4,44004.8487322256,22048.0351383127,22.7397260273973,12.6842513576416,8.18463925523662,21.7610550814585,9.401261475,2896.0
Census tract,Tract 103,17031010300,47.047031611411,30.763299922899,1.12567463377024,16.946800308404,51.8,43754.5198429424,34638.7296967546,12.9200359389039,11.1949685534591,6.72057502246181,13.4231805929919,9.389392077,6485.0
Census tract,Tract 104,17031010400,64.4734318051026,21.1778246690965,4.62305774026472,7.51966238250527,45.8,42110.4106124803,24067.6377026997,21.4363735663572,8.21024362171494,2.26357183963169,6.98254364089775,9.426714754,5213.0
Census tract,Tract 105.01,17031010501,46.3676255485129,33.1058020477816,5.68015602145295,9.43442223305704,33.1,42142.232081457,34115.7968899044,16.69921875,13.9892578125,9.3994140625,11.5478515625,9.41255929,4102.0
Census tract,Tract 105.02,17031010502,52.1204273227582,21.6574943347362,8.4817092910327,15.0534153447718,56.2,41779.4673351228,28735.8472015794,31.1675461741425,10.7801877630301,4.24085464551635,11.4276464875364,9.433186339,3089.0
Census tract,Tract 105.03,17031010503,66.6666666666667,14.1196013289037,12.4584717607973,2.99003322259136,89.9,19640.2106524102,25245.0320548371,48.2834994462901,23.4933035714286,18.6383928571429,2.95758928571429,9.444618033,1806.0
Census tract,Tract 106,17031010600,52.1501172791243,17.8107896794371,3.18999218139171,24.0187646598905,57.0,53971.3328157235,36308.296102398,27.6913203914648,5.69549173752607,0.802181934862827,20.5198138937911,9.441720219,6395.0
Census tract,Tract 107.01,17031010701,41.1325966850829,23.4530386740332,8.56353591160221,26.0497237569061,34.6,63820.0774640076,37513.2690609818,12.9005524861878,7.09944751381215,4.00552486187845,13.8674033149171,9.450548087,3620.0
Census tract,Tract 107.02,17031010702,32.1920503738686,31.4639905548996,7.10350255804801,27.0956316410862,74.7,47289.8850462521,24901.3601898889,22.7935382190701,7.08366219415943,3.88713496448303,13.930544593528,9.432505191,5082.0
Census tract,Tract 201,17031020100,31.3432835820896,33.3333333333333,4.72636815920398,25.8430071862908,61.2,51806.4122096763,34822.2335011868,15.3399668325041,11.7744610281924,5.52791597567717,16.4179104477612,9.441910383,3618.0
Census tract,Tract 202,17031020200,48.1578947368421,10.3947368421053,18.7134502923977,18.2163742690058,55.9,99829.2517580248,38643.9919252867,11.1549707602339,6.6374269005848,3.7719298245614,12.266081871345,9.480201913,6840.0
Census tract,Tract 203.01,17031020301,75.055720653789,3.64041604754829,11.0698365527489,7.02080237741456,72.1,60432.1517336232,34491.2902238293,14.0601783060921,15.5274888558692,11.1627043090639,8.22808320950966,9.535357104,5384.0
Census tract,Tract 203.02,17031020302,58.3219778080592,9.67490753357991,13.1788981896048,13.5682304847187,50.7,82205.4615231039,39505.2930189223,14.2104153489353,13.78367003367,5.5976430976431,6.29208754208754,9.495569126,5137.0
Census tract,Tract 204,17031020400,38.5627054955378,23.015500234852,13.0108031939878,20.8313762329732,49.6,69919.1923512057,39937.0042813727,16.4224952741021,7.71220315071714,4.89066541264989,9.59322830942864,9.473055191,4258.0
Census tract,Tract 205,17031020500,13.2988929889299,13.2841328413284,40.5756457564576,25.210332103321,93.4,47653.7105082189,20075.1040617582,22.4957944639853,8.77810062700719,5.5207218229087,18.1985012998929,9.498843716,6775.0
Census tract,Tract 206.01,17031020601,56.4750957854406,5.45593869731801,27.6934865900383,5.21072796934866,96.2,40494.9407040973,21415.8486213093,35.3869731800766,10.3141762452107,7.17241379310345,10.9272030651341,9.553151093,6525.0
Census tract,Tract 206.02,17031020602,37.0409233997901,13.1164742917104,22.707240293809,25.2465897166842,83.2,60508.5232591672,23921.2589454069,22.5684210526316,6.96842105263158,4.82105263157895,16.0421052631579,9.526380874,4765.0
Census tract,Tract 207.01,17031020701,65.997830802603,4.33839479392625,16.4859002169197,11.4967462039046,30.6,103154.595266088,46642.8485103929,8.62255965292842,4.28416485900217,2.65726681127983,4.60954446854664,9.619551093,1844.0
Census tract,Tract 207.02,17031020702,36.0442499392171,8.48529054218332,24.2766836858741,30.0875273522976,93.9,52152.2055058897,19710.2178841589,21.7894474863116,4.59183673469388,3.17322050771528,7.34196117471379,9.58002459,8226.0
Census tract,Tract 208.01,17031020801,37.085020242915,3.02834008097166,28.7449392712551,24.7611336032389,71.2,57333.8013709266,29279.9943210808,14.2186234817814,10.4777327935223,8.09716599190283,13.9109311740891,9.586533607,6175.0
Census tract,Tract 208.02,17031020802,32.7564426478019,7.17534108135422,34.2597271349166,12.3420919656392,89.7,49025.215821114,19915.9967168748,32.7785541862533,10.4896874604581,6.59243325319499,14.311021131216,9.57244071,7916.0
Census tract,Tract 209.01,17031020901,23.5255889520715,23.1681559707555,25.800162469537,21.965881397238,76.5,55426.6346635906,22644.1573238093,26.2609827530101,6.64500406173842,4.01299756295694,16.7506092607636,9.537575956,6155.0
Census tract,Tract 209.02,17031020902,38.4694719471947,13.5313531353135,28.0115511551155,18.4818481848185,85.0,41881.2960358482,19521.4105015639,30.3910858641031,18.6585099410094,10.5527638190955,13.8737164081276,9.517430328,4848.0
